id;purchaseorderid;ponumber;from_so;vendorid;country;fulfillmentcenter;shipmentid;channel;totalitem;totalcost;bookingnumber;expectedshipdate;actualshipdate;etd;eta;usbroker;status;updatedby;updateddate;isdeleted;deleteddate;deletedby;cdcversion
1;74359;integrated hacking;Ergonomic users benchmark;frame Account;Solomon Islands;Cayman IB;Florida Locks;63713;1785;73164;Consultant;2022-09-13;62184;2022-09-13;2022-09-13;navigating;10839;Creative;2022-09-14;true;2022-09-13;primary;68844
2;39710;lime XSS Buckinghamshire;migration Awesome;Unbranded Beauty;Guatemala;infrastructures;Reunion;54076;15919;7985;Car Movies;2022-09-13;64164;2022-09-13;2022-09-13;scalable Soft Branding;31791;Personal Hat 1080p;2022-09-13;true;2022-09-13;Group payment;30789
3;61542;Sports;Developer;Plastic TCP;United States Minor Outlying Islands;turquoise;infrastructures;54290;5159;44200;Creek;2022-09-13;66106;2022-09-13;2022-09-13;scalable relationships;34785;Account THX Dynamic;2022-09-13;false;2022-09-13;installation;17916
4;75659;Ruble;Central Steel generate;navigating generation Field;Liberia;connect;Associate protocol extend;80619;61411;30997;motivating Sports Coordinator;2022-09-14;32543;2022-09-13;2022-09-13;Business-focused salmon;20096;real-time;2022-09-13;false;2022-09-13;moderator impactful;97343
5;36918;fuchsia networks bypassing;North Games;hacking unleash reboot;Norway;Mali;Director interface;3856;47837;82077;directional;2022-09-13;71663;2022-09-13;2022-09-13;static Data;49956;Loan;2022-09-13;false;2022-09-13;Rhode Massachusetts;23590
6;75783;overriding Response Awesome;Texas;Isle Springs;Luxembourg;Yemen Corporate aggregate;Centers;1654;87580;6765;applications Human;2022-09-13;32484;2022-09-13;2022-09-13;copying Table;23392;Metrics turquoise Car;2022-09-13;true;2022-09-13;Lakes;86351
7;76470;Bedfordshire impactful;administration parse;deposit Dinar Utah;Croatia;magenta Facilitator Direct;Ball Wooden Rubber;74426;65626;42443;Utah;2022-09-13;8020;2022-09-13;2022-09-14;Congolese FTP Implementation;14621;Ergonomic extranet;2022-09-13;false;2022-09-13;open-source;7050
8;4733;green generate;Phased;transmitter;Cambodia;Gloves fuchsia index;interface firewall Card;54283;43904;38595;strategize Licensed;2022-09-13;73391;2022-09-13;2022-09-14;Tactics Principal port;93951;Account up Agent;2022-09-13;true;2022-09-13;Clothing bus;62036
9;68945;Towels navigating hack;Knoll Nigeria Shoes;Human;South Georgia and the South Sandwich Islands;Kina integrated;Berkshire Ways;2640;89030;22582;monitoring;2022-09-13;69918;2022-09-13;2022-09-14;extensible;77723;Account generating;2022-09-13;false;2022-09-13;time-frame Engineer;22967
10;15219;Macao Fish;task-force;bandwidth-monitored;Turkey;Electronics;navigating Refined transmit;86832;94375;2495;Cross-platform Savings relationships;2022-09-13;54059;2022-09-14;2022-09-13;Concrete;280;B2B utilize;2022-09-13;false;2022-09-13;PNG Account XSS;51249
