id;purchaseorderdetailid;purchaseorderid;sku;asin;productname;qtyordered;maketostock;unitcost;totalcost;updatedby;updateddate;isdeleted;deletedby;deleteddate;cdcversion
1;69014;7208;card withdrawal;Frozen generate white;Director Village;74924;9744;8980;71925;USB productize;2022-09-14;false;Sharable;2022-09-13;54982
2;34063;95843;bluetooth connecting;Account;Operations orchid Coordinator;96493;89043;37019;92281;Metal convergence;2022-09-13;true;Chief Granite Pennsylvania;2022-09-13;82303
3;76001;86465;XSS wireless;Applications;payment;68792;98777;70382;60964;redundant payment;2022-09-13;false;Liberian navigating;2022-09-14;18760
4;41534;80451;reintermediate lavender bypassing;digital;blockchains intuitive;87218;48721;66160;27661;Small repurpose;2022-09-13;false;deliverables Handmade;2022-09-13;164
5;79657;50981;deposit Sri;Regional PCI Rubber;system;35818;887;36470;38004;hierarchy;2022-09-13;false;driver;2022-09-13;78614
6;42012;1054;infrastructures Account;Dinar Expanded;COM Soft deliverables;59893;26516;46350;40685;Incredible;2022-09-13;false;productize;2022-09-13;91578
7;39299;30055;Metal;Orchestrator Mills;Mouse;81575;21979;73248;1748;indexing Baby;2022-09-13;true;violet;2022-09-13;14678
8;26673;36758;generating;Outdoors Cotton violet;partnerships;6499;60902;32654;95953;North portal Dollar;2022-09-13;true;violet;2022-09-13;29877
9;90747;69240;neutral;synthesizing GB;input;9187;13019;10521;83293;withdrawal Bedfordshire Loan;2022-09-13;false;Infrastructure bus network;2022-09-13;94556
10;30141;87167;Arkansas reintermediate;empower multi-byte;Versatile Polarised Home;21632;16123;29742;20569;Cotton Chief Burundi;2022-09-13;false;Pataca transmitter experiences;2022-09-13;37747
